	onset	duration	trial_type
0	11.988713979699998	2.2501430511999985	eyebrows
1	15.335505604800002	2.251703977550001	eyes
2	18.6897325516	2.2501875161999987	mouth
3	22.0348353383	2.2500705717	tongue
4	25.376571058899998	2.2542355062999953	lhand_fing1
5	28.709951519950003	2.255005478649995	lhand_fing2
6	32.04339551925	2.2506970167	lhand_fing3
7	35.38515806195	2.250084996249994	lhand_fing4
8	38.7186460495	2.250125407850007	lhand_fing5
9	42.0478925705	2.251309037199995	lleg
10	45.3813010454	2.2501294613500082	eyebrows
11	48.72315955165	2.2501893043500036	eyes
12	52.0648715496	2.25007498240001	mouth
13	55.40660846234999	2.2500884533000036	tongue
14	58.7442355156	2.254844426950001	lhand_fing1
15	58.7442355156	2.254844426950001	rhand_fing1
16	62.077650547000005	2.2501040697500034	lhand_fing2
17	62.077650547000005	2.2501040697500034	rhand_fing2
18	65.41113352775	2.2507535220000072	lhand_fing3
19	65.41113352775	2.2507535220000072	rhand_fing3
20	68.75293302535	2.2503495219000027	lhand_fing4
21	68.75293302535	2.2503495219000027	rhand_fing4
22	72.08209645745	2.250835538300013	lhand_fing5
23	72.08209645745	2.250835538300013	rhand_fing5
24	75.41555202005	2.250184059000002	lleg
25	75.41555202005	2.250184059000002	rleg
26	78.74901747704999	2.250108003600003	tongue
27	82.08246362255	2.250078439850002	mouth
28	85.42001605005	2.250085949999999	eye
29	88.75762045354999	2.2500779635000026	eyebrows
30	92.09526658055	2.2506219149999946	rhand_fing1
31	95.42452204205	2.250123620000002	rhand_fing2
32	98.75382101514998	2.2548840044999885	rhand_fing3
33	102.09975647915	2.250723957999993	rhand_fing4
34	105.43732750415	2.251184939999991	rhand_fing5
35	108.77913594214999	2.2501510384999914	rleg
36	112.11665952165	2.250112414500009	eyebrows
37	115.45843541564997	2.2501339915000074	eyes
38	118.80439043015	2.2501364945000137	mouth
39	122.14614951614999	2.2500330214999895	tongue
40	125.48375999915001	2.25017201949999	lhand_fing5
41	128.80886209015	2.255798577999995	lhand_fing4
42	132.15477347364998	2.254637479999987	lhand_fing3
43	135.50072443464998	2.2510961295000094	lhand_fing2
44	138.83834648114998	2.251202106500001	lhand_fing1
45	142.17597103064998	2.2501720190000025	lleg
46	145.5218470094	2.2500410074999913	eyebrows
47	148.8552188874	2.2501000159999993	eyes
48	152.2012329099	2.250100373999986	mouth
49	155.54294788789997	2.250075459500014	tongue
50	158.8889139889	2.2772809265000014	lhand_fing5
51	158.8889139889	2.2772809265000014	rhand_fing5
52	162.2565104961	2.262629032000003	lhand_fing4
53	162.2565104961	2.262629032000003	rhand_fing4
54	165.61079442509998	2.2716079950000054	lhand_fing3
55	165.61079442509998	2.2716079950000054	rhand_fing3
56	168.9725639814	2.2665048840000352	lhand_fing2
57	168.9725639814	2.2665048840000352	rhand_fing2
58	172.32764363285	2.283435940999995	lhand_fing1
59	172.32764363285	2.283435940999995	rhand_fing1
60	175.70279014135002	2.2887295485000223	lleg
61	175.70279014135002	2.2887295485000223	rleg
62	179.08621299285	2.250075101999995	tongue
63	182.42797517785	2.250081300999982	mouth
64	185.77388215035	2.250098466999999	eyes
65	189.11571109285	2.250078082000009	eyebrows
66	192.45746064185002	2.26400399200001	rhand_fing5
67	195.82750999915	2.251389980000001	rhand_fing4
68	199.16931509965002	2.2758674620000185	rhand_fing3
69	202.53610503665	2.2810429340000056	rhand_fing2
70	205.91544997665	2.2679665089999936	rhand_fing1
71	209.27371251565	2.2929779289999974	rleg
